Date,weekday,Holiday,working _day,holiday_sequence,trans_date_set,trans_month,trans_year,prevweek_mean,total_amount_withdrawn
17/06/2011,6,NAH,W,WWH,17,6,2011,31626.66667,47440
18/06/2011,7,NAH,H,WHH,18,6,2011,44966.66667,67450
19/06/2011,1,O,H,HHW,19,6,2011,20000,30320
20/06/2011,2,NAH,W,HWW,20,6,2011,30293.33333,45440
21/06/2011,3,NAH,W,WWW,21,6,2011,26153.33333,39230
22/06/2011,4,NAH,W,WWW,22,6,2011,38266.66667,57400
23/06/2011,5,NAH,W,WWW,23,6,2011,32440,48660
24/06/2011,6,NAH,W,WWH,24,6,2011,35266.66667,52900
25/06/2011,7,NAH,H,WHH,25,6,2011,42820,64230
26/06/2011,1,NAH,H,HHW,26,6,2011,26800,40200
27/06/2011,2,NAH,W,HWW,27,6,2011,31533.33333,47300
28/06/2011,3,NAH,W,WWW,28,6,2011,32220,48330
29/06/2011,4,NAH,W,WWW,29,6,2011,40333.33333,60500
30/06/2011,5,NAH,W,WWW,30,6,2011,57100,85650
01/07/2011,6,NAH,W,WWH,1,7,2011,44586.66667,66880
02/07/2011,7,NAH,H,WHH,2,7,2011,69973.33333,104960
03/07/2011,1,OH,H,HHW,3,7,2011,43266.66667,64900
04/07/2011,2,NAH,W,HWW,4,7,2011,60493.33333,90740
05/07/2011,3,NAH,W,WWW,5,7,2011,29013.33333,43520
06/07/2011,4,NAH,W,WWW,6,7,2011,49000,73500
07/07/2011,5,NAH,W,WWW,7,7,2011,49233.33333,73850
08/07/2011,6,NAH,W,WWH,8,7,2011,23273.33333,34910
09/07/2011,7,NAH,H,WHH,9,7,2011,40826.66667,61240
10/07/2011,1,NAH,H,HHW,10,7,2011,37240,55860
11/07/2011,2,NAH,W,HWW,11,7,2011,45633.33333,68450
12/07/2011,3,NAH,W,WWW,12,7,2011,26160,39240
13/07/2011,4,NAH,W,WWW,13,7,2011,29486.66667,44230
14/07/2011,5,NAH,W,WWW,14,7,2011,30000,45000
15/07/2011,6,O,W,WWH,15,7,2011,20546.66667,30820
16/07/2011,7,NAH,H,WHH,16,7,2011,29126.66667,43690
17/07/2011,1,NAH,H,HHW,17,7,2011,26060,39090
18/07/2011,2,NAH,W,HWW,18,7,2011,31620,47430
19/07/2011,3,NAH,W,WWW,19,7,2011,38020,57030
20/07/2011,4,NAH,W,WWW,20,7,2011,51686.66667,77530
21/07/2011,5,NAH,W,WWW,21,7,2011,37006.66667,55510
22/07/2011,6,NAH,W,WWH,22,7,2011,40680,61020
23/07/2011,7,NAH,H,WHH,23,7,2011,48393.33333,72590
24/07/2011,1,NAH,H,HHW,24,7,2011,21573.33333,32360
25/07/2011,2,NAH,W,HWW,25,7,2011,34853.33333,52280
26/07/2011,3,NAH,W,WWW,26,7,2011,20793.33333,31190
27/07/2011,4,NAH,W,WWW,27,7,2011,31520,47280
28/07/2011,5,NAH,W,WWW,28,7,2011,40713.33333,61070
29/07/2011,6,NAH,W,WWH,29,7,2011,39226.66667,58840
30/07/2011,7,NAH,H,WHH,30,7,2011,69873.33333,104810
31/07/2011,1,NAH,H,HHW,31,7,2011,44900,67350
01/08/2011,2,NAH,W,HWW,1,8,2011,50346.66667,75520
02/08/2011,3,NAH,W,WWW,2,8,2011,38106.66667,57160
03/08/2011,4,NAH,W,WWW,3,8,2011,40180,60270
04/08/2011,5,NAH,W,WWW,4,8,2011,56213.33333,84320
05/08/2011,6,NAH,W,WWH,5,8,2011,50240,75360
06/08/2011,7,NAH,H,WHH,6,8,2011,55180,82770
07/08/2011,1,O,H,HHW,7,8,2011,42986.66667,64480
08/08/2011,2,NAH,W,HWW,8,8,2011,38060,57090
09/08/2011,3,NAH,W,WWW,9,8,2011,37040,55560
10/08/2011,4,NAH,W,WWW,10,8,2011,36266.66667,54400
11/08/2011,5,NAH,W,WWW,11,8,2011,47460,71190
12/08/2011,6,NAH,W,WWH,12,8,2011,32346.66667,48520
13/08/2011,7,OH,H,WHH,13,8,2011,24813.33333,37220
14/08/2011,1,NAH,H,HHW,14,8,2011,49940,74910
15/08/2011,2,NH,W,HWW,15,8,2011,43226.66667,64840
16/08/2011,3,NAH,W,WWW,16,8,2011,35153.33333,52730
17/08/2011,4,NAH,W,WWW,17,8,2011,38820,58230
18/08/2011,5,NAH,W,WWW,18,8,2011,50093.33333,75140
19/08/2011,6,OH,W,WWH,19,8,2011,21086.66667,31630
20/08/2011,7,NAH,H,WHH,20,8,2011,27266.66667,40900
21/08/2011,1,NAH,H,HHW,21,8,2011,29533.33333,44300
22/08/2011,2,NH,W,HWW,22,8,2011,29466.66667,44200
23/08/2011,3,NAH,W,WWW,23,8,2011,34126.66667,51190
24/08/2011,4,NAH,W,WWW,24,8,2011,36780,55170
25/08/2011,5,NAH,W,WWW,25,8,2011,48620,72930
26/08/2011,6,OH,W,WWH,26,8,2011,36486.66667,54730
27/08/2011,7,NAH,H,WHH,27,8,2011,29626.66667,44440
28/08/2011,1,NAH,H,HHW,28,8,2011,33840,50760
29/08/2011,2,NAH,W,HWW,29,8,2011,31026.66667,46540
30/08/2011,3,NAH,W,WWW,30,8,2011,21040,31560
31/08/2011,4,R-M,W,WWW,31,8,2011,44240,66360
01/09/2011,5,OH,W,WWW,1,9,2011,48920,73380
02/09/2011,6,NAH,W,WWH,2,9,2011,26473.33333,39710
03/09/2011,7,NAH,H,WHH,3,9,2011,55206.66667,82810
04/09/2011,1,NAH,H,HHW,4,9,2011,49513.33333,74270
05/09/2011,2,NAH,W,HWW,5,9,2011,53000,79500
06/09/2011,3,NAH,W,WWW,6,9,2011,42673.33333,64010
07/09/2011,4,NAH,W,WWW,7,9,2011,24706.66667,37060
08/09/2011,5,NAH,W,WWW,8,9,2011,29620,44430
09/09/2011,6,OH,W,WWH,9,9,2011,20860,31290
10/09/2011,7,NAH,H,WHH,10,9,2011,31253.33333,46880
11/09/2011,1,NAH,H,HHW,11,9,2011,28606.66667,42910
12/09/2011,2,NAH,W,HWW,12,9,2011,19993.33333,29990
13/09/2011,3,NAH,W,WWW,13,9,2011,35760,53640
14/09/2011,4,NAH,W,WWW,14,9,2011,26673.33333,40010
15/09/2011,5,NAH,W,WWW,15,9,2011,22386.66667,33580
16/09/2011,6,NAH,W,WWH,16,9,2011,19753.33333,29630
17/09/2011,7,NAH,H,WHH,17,9,2011,41080,61620
18/09/2011,1,NAH,H,HHW,18,9,2011,26600,39900
19/09/2011,2,NAH,W,HWW,19,9,2011,38526.66667,57790
20/09/2011,3,NAH,W,WWW,20,9,2011,23820,35730
21/09/2011,4,NAH,W,WWW,21,9,2011,22273.33333,33410
22/09/2011,5,NAH,W,WWW,22,9,2011,40813.33333,61220
23/09/2011,6,NAH,W,WWH,23,9,2011,25620,38430
24/09/2011,7,NAH,H,WHH,24,9,2011,25606.66667,38410
25/09/2011,1,NAH,H,HHW,25,9,2011,34233.33333,51350
26/09/2011,2,NAH,W,HWW,26,9,2011,30680,46020
27/09/2011,3,NAH,W,WWW,27,9,2011,32960,49440
28/09/2011,4,R-H,W,WWW,28,9,2011,31360,47040
29/09/2011,5,NAH,W,WWW,29,9,2011,52566.66667,78850
30/09/2011,6,NAH,W,WWH,30,9,2011,50613.33333,75920
01/10/2011,7,NAH,H,WHH,1,10,2011,22646.66667,33970
02/10/2011,1,NH,H,HHW,2,10,2011,42826.66667,64240
03/10/2011,2,OH,W,HWW,3,10,2011,55993.33333,83990
04/10/2011,3,OH,W,WWW,4,10,2011,56013.33333,84020
05/10/2011,4,NAH,W,WWW,5,10,2011,26160,39240
06/10/2011,5,NH,W,WWW,6,10,2011,48640,72960
07/10/2011,6,NAH,W,WWH,7,10,2011,32426.66667,48640
08/10/2011,7,NAH,H,WHH,8,10,2011,44146.66667,66220
09/10/2011,1,NAH,H,HHW,9,10,2011,34953.33333,52430
10/10/2011,2,NAH,W,HWW,10,10,2011,31506.66667,47260
11/10/2011,3,OH,W,WWW,11,10,2011,30606.66667,45910
12/10/2011,4,NAH,W,WWW,12,10,2011,40206.66667,60310
13/10/2011,5,NAH,W,WWW,13,10,2011,39413.33333,59120
14/10/2011,6,NAH,W,WWH,14,10,2011,35193.33333,52790
15/10/2011,7,OH,H,WHH,15,10,2011,31000,46660
16/10/2011,1,NAH,H,HHW,16,10,2011,39673.33333,59510
17/10/2011,2,NAH,W,HWW,17,10,2011,41426.66667,62140
18/10/2011,3,NAH,W,WWW,18,10,2011,50973.33333,76460
19/10/2011,4,NAH,W,WWW,19,10,2011,63626.66667,95440
20/10/2011,5,NAH,W,WWW,20,10,2011,63200,94800
21/10/2011,6,NAH,W,WWH,21,10,2011,41900,62850
22/10/2011,7,NAH,H,WHH,22,10,2011,44386.66667,66580
23/10/2011,1,NAH,H,HHW,23,10,2011,31740,47610
24/10/2011,2,NAH,W,HWW,24,10,2011,13440,20160
25/10/2011,3,NAH,W,WWW,25,10,2011,30520,45780
26/10/2011,4,NH,W,WWW,26,10,2011,34246.66667,51370
27/10/2011,5,OH,W,WWW,27,10,2011,29086.66667,43630
28/10/2011,6,OH,W,WWH,28,10,2011,18100,27150
29/10/2011,7,NAH,H,WHH,29,10,2011,31240,46860
30/10/2011,1,NAH,H,HHW,30,10,2011,33453.33333,50180
31/10/2011,2,O,W,HWW,31,10,2011,60000,90000
01/11/2011,3,OH,W,WWW,1,11,2011,34273.33333,51410
02/11/2011,4,NAH,W,WWW,2,11,2011,29120,43680
03/11/2011,5,NAH,W,WWW,3,11,2011,60206.66667,90310
04/11/2011,6,NAH,W,WWH,4,11,2011,35260,52890
05/11/2011,7,NAH,H,WHH,5,11,2011,26613.33333,39920
06/11/2011,1,NAH,H,HHW,6,11,2011,39013.33333,58520
07/11/2011,2,NH,W,HWW,7,11,2011,43006.66667,64510
08/11/2011,3,NAH,W,WWW,8,11,2011,33893.33333,50840
09/11/2011,4,NAH,W,WWW,9,11,2011,35080,52620
10/11/2011,5,NH,W,WWW,10,11,2011,24293.33333,36440
11/11/2011,6,NAH,W,WWH,11,11,2011,21286.66667,31930
12/11/2011,7,NAH,H,WHH,12,11,2011,35353.33333,53030
13/11/2011,1,NAH,H,HHW,13,11,2011,35060,52590
14/11/2011,2,NAH,W,HWW,14,11,2011,31400,47100
15/11/2011,3,NAH,W,WWW,15,11,2011,22680,34020
16/11/2011,4,NAH,W,WWW,16,11,2011,14826.66667,22240
17/11/2011,5,NAH,W,WWW,17,11,2011,25760,38640
18/11/2011,6,NAH,W,WWH,18,11,2011,26613.33333,39920
19/11/2011,7,NAH,H,WHH,19,11,2011,41520,62280
20/11/2011,1,NAH,H,HHW,20,11,2011,20786.66667,31180
21/11/2011,2,NAH,W,HWW,21,11,2011,34746.66667,52120
22/11/2011,3,NAH,W,WWW,22,11,2011,23980,35970
23/11/2011,4,NAH,W,WWW,23,11,2011,16166.66667,24250
24/11/2011,5,OH,W,WWW,24,11,2011,30860,46290
25/11/2011,6,NAH,W,WWH,25,11,2011,16620,24930
26/11/2011,7,NAH,H,WHH,26,11,2011,28513.33333,42770
27/11/2011,1,NAH,H,HHW,27,11,2011,29106.66667,43660
28/11/2011,2,NAH,W,HWW,28,11,2011,29286.66667,43930
29/11/2011,3,NAH,W,WWW,29,11,2011,37340,56010
30/11/2011,4,NAH,W,WWW,30,11,2011,41726.66667,62590
01/12/2011,5,NAH,W,WWW,1,12,2011,49486.66667,74230
02/12/2011,6,NAH,W,WWH,2,12,2011,35493.33333,53240
03/12/2011,7,NAH,H,WHH,3,12,2011,39900,59850
04/12/2011,1,NAH,H,HHW,4,12,2011,53206.66667,79810
05/12/2011,2,NAH,W,HWW,5,12,2011,44686.66667,67030
06/12/2011,3,NH,W,WWW,6,12,2011,38440,57660
07/12/2011,4,NAH,W,WWW,7,12,2011,39326.66667,58990
08/12/2011,5,NAH,W,WWW,8,12,2011,35260,52890
09/12/2011,6,NAH,W,WWH,9,12,2011,20046.66667,30070
10/12/2011,7,NAH,H,WHH,10,12,2011,29666.66667,44500
11/12/2011,1,NAH,H,HHW,11,12,2011,36846.66667,55270
12/12/2011,2,NAH,W,HWW,12,12,2011,30773.33333,46160
13/12/2011,3,NAH,W,WWW,13,12,2011,34520,51780
14/12/2011,4,NAH,W,WWW,14,12,2011,22280,33420
15/12/2011,5,NAH,W,WWW,15,12,2011,53680,80520
16/12/2011,6,NAH,W,WWH,16,12,2011,41573.33333,62360
17/12/2011,7,NAH,H,WHH,17,12,2011,42660,63990
18/12/2011,1,NAH,H,HHW,18,12,2011,34880,52320
19/12/2011,2,NAH,W,HWW,19,12,2011,25526.66667,38290
20/12/2011,3,NAH,W,WWW,20,12,2011,22540,33810
21/12/2011,4,O,W,WWW,21,12,2011,31846.66667,47770
22/12/2011,5,NAH,W,WWW,22,12,2011,39320,58980
23/12/2011,6,NAH,W,WWH,23,12,2011,134500,20180
24/12/2011,7,OH,H,WHH,24,12,2011,37460,56190
25/12/2011,1,NH,H,HHW,25,12,2011,26426.66667,39640
26/12/2011,2,NAH,W,HWW,26,12,2011,31246.66667,46870
27/12/2011,3,NAH,W,WWW,27,12,2011,12620,18930
28/12/2011,4,O,W,WWW,28,12,2011,25460,38190
29/12/2011,5,NAH,W,WWW,29,12,2011,62240,93360
30/12/2011,6,NAH,W,WWH,30,12,2011,37393.33333,56090
31/12/2011,7,O,H,WHH,31,12,2011,42946.66667,64420
01/01/2012,1,OH,H,HHW,1,1,2012,61002.8,91504.2
02/01/2012,2,NAH,W,HWW,2,1,2012,56168,84252
03/01/2012,3,NAH,W,WWW,3,1,2012,51299.2,76948.8
04/01/2012,4,NAH,W,WWW,4,1,2012,56725.6,85088.4
05/01/2012,5,O,W,WWW,5,1,2012,39120.4,58680.6
06/01/2012,6,NAH,W,WWH,6,1,2012,53903.6,80855.4
07/01/2012,7,NAH,H,WHH,7,1,2012,51122.4,76683.6
08/01/2012,1,NAH,H,HHW,8,1,2012,47749.6,71624.4
09/01/2012,2,NAH,W,HWW,9,1,2012,34408,51612
10/01/2012,3,NAH,W,WWW,10,1,2012,44036.8,66055.2
11/01/2012,4,NAH,W,WWW,11,1,2012,34428.4,51642.6
12/01/2012,5,NAH,W,WWW,12,1,2012,30695.2,46042.8
13/01/2012,6,NAH,W,WWH,13,1,2012,13634,20451
14/01/2012,7,NAH,H,WHH,14,1,2012,13960.4,20940.6
15/01/2012,1,OH,H,HHW,15,1,2012,15089.2,22633.8
16/01/2012,2,NAH,W,HWW,16,1,2012,27553.6,41330.4
17/01/2012,3,NAH,W,WWW,17,1,2012,36563.6,54845.4
18/01/2012,4,NAH,W,WWW,18,1,2012,38454,57681
19/01/2012,5,NAH,W,WWW,19,1,2012,30627.2,45940.8
20/01/2012,6,NAH,W,WWH,20,1,2012,30980.8,46471.2
21/01/2012,7,NAH,H,WHH,21,1,2012,23942.8,35914.2
22/01/2012,1,NAH,H,HHW,22,1,2012,33925.2,50887.8
23/01/2012,2,O,W,HWW,23,1,2012,29872.4,44808.6
24/01/2012,3,NAH,W,WWW,24,1,2012,17367.2,26050.8
25/01/2012,4,NAH,W,WWW,25,1,2012,31382,47073
26/01/2012,5,NH,W,WWW,26,1,2012,22868.4,34302.6
27/01/2012,6,NAH,W,WWH,27,1,2012,29104,43656
28/01/2012,7,OH,H,WHH,28,1,2012,20155.2,30232.8
29/01/2012,1,NAH,H,HHW,29,1,2012,35026.8,52540.2
30/01/2012,2,NAH,W,HWW,30,1,2012,42962.4,64443.6
31/01/2012,3,NAH,W,WWW,31,1,2012,48613.2,72919.8
01/02/2012,4,NAH,W,WWW,1,2,2012,40324,60486
02/02/2012,5,NAH,W,WWW,2,2,2012,41867.6,62801.4
03/02/2012,6,NAH,W,WWH,3,2,2012,68482.8,102724.2
04/02/2012,7,NAH,H,WHH,4,2,2012,33993.2,50989.8
05/02/2012,1,NH,H,HHW,5,2,2012,42350.4,63525.6
06/02/2012,2,NAH,W,HWW,6,2,2012,42173.6,63260.4
07/02/2012,3,OH,W,WWW,7,2,2012,44138.8,66208.2
08/02/2012,4,NAH,W,WWW,8,2,2012,34578,51867
09/02/2012,5,NAH,W,WWW,9,2,2012,31450,47175
10/02/2012,6,NAH,W,WWH,10,2,2012,24282.8,36424.2
11/02/2012,7,NAH,H,WHH,11,2,2012,24439.2,36658.8
12/02/2012,1,NAH,H,HHW,12,2,2012,28090.8,42136.2
13/02/2012,2,NAH,W,HWW,13,2,2012,33993.2,50989.8
14/02/2012,3,O,W,WWW,14,2,2012,21576.4,32364.6
